Time,Euler0,Euler1,Euler2,ShakeLevel,PosX, PosY,OnMat,MotorSpeedL,MotorSpeedR,Collided
4.69,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.7,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.71,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.72,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.73,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.74,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,0
4.75,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,0
4.76,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,0
4.77,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,0
4.78,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,0
4.79,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.8,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,0
4.81,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,0
4.82,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,0
4.83,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,0
4.84,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,0
4.85,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.86,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.87,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.88,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.89,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,0
4.9,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.91,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.92,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.93,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.94,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.95,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.96,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
4.97,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,0
4.98,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,0
4.99,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
5,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
5.01,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
5.02,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
5.03,-1.00, 2.00, -134.00,0,227.00, 369.00,1,0,0,0
5.04,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,100
5.05,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,99
5.06,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,98
5.07,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,97
5.08,-1.00, 3.00, -134.00,0,227.00, 369.00,1,0,0,96
5.09,-1.00, 3.00, -136.00,0,227.00, 369.00,1,0,0,95
5.1,-1.00, 3.00, -136.00,0,227.00, 369.00,1,0,0,94
5.11,-1.00, 3.00, -136.00,0,227.00, 369.00,1,0,0,93
5.12,-1.00, 3.00, -136.00,0,230.00, 368.00,1,0,0,92
5.13,-1.00, 3.00, -136.00,0,230.00, 368.00,1,0,0,91
5.14,-1.00, 3.00, -136.00,0,230.00, 368.00,1,43,42,90
5.15,-1.00, 4.00, -137.00,0,233.00, 366.00,1,43,42,89
5.16,-1.00, 4.00, -137.00,0,233.00, 366.00,1,43,42,88
5.17,0.00, 4.00, -137.00,0,233.00, 366.00,1,43,42,87
5.18,-1.00, 4.00, -137.00,0,236.00, 364.00,1,43,42,86
5.19,0.00, 4.00, -137.00,0,236.00, 364.00,1,43,42,85
5.2,0.00, 4.00, -137.00,0,236.00, 364.00,1,43,42,84
5.21,0.00, 4.00, -137.00,0,239.00, 363.00,1,43,42,83
5.22,0.00, 4.00, -137.00,0,239.00, 363.00,1,43,42,82
5.23,0.00, 4.00, -137.00,0,239.00, 363.00,1,43,42,81
5.24,0.00, 3.00, -137.00,0,242.00, 362.00,1,55,55,80
5.25,0.00, 3.00, -136.00,0,242.00, 362.00,1,55,55,79
5.26,0.00, 3.00, -136.00,0,242.00, 362.00,1,55,55,78
5.27,0.00, 3.00, -136.00,0,245.00, 360.00,1,55,55,77
5.28,0.00, 3.00, -136.00,0,245.00, 360.00,1,55,55,76
5.29,0.00, 3.00, -136.00,0,245.00, 360.00,1,55,55,75
5.3,0.00, 2.00, -136.00,0,251.00, 357.00,1,55,55,74
5.31,0.00, 2.00, -136.00,0,251.00, 357.00,1,55,55,73
5.32,0.00, 2.00, -136.00,0,251.00, 357.00,1,55,55,72
5.33,0.00, 2.00, -136.00,0,251.00, 357.00,1,55,55,71
5.34,0.00, 2.00, -136.00,0,251.00, 357.00,1,54,53,70
5.35,0.00, 2.00, -136.00,0,251.00, 357.00,1,54,53,69
5.36,0.00, 2.00, -136.00,0,254.00, 356.00,1,54,53,68
5.37,0.00, 2.00, -136.00,0,254.00, 356.00,1,54,53,67
5.38,0.00, 2.00, -136.00,0,254.00, 356.00,1,54,53,66
5.39,0.00, 1.00, -136.00,0,254.00, 356.00,1,54,53,65
5.4,0.00, 1.00, -136.00,0,254.00, 356.00,1,54,53,64
5.41,0.00, 1.00, -136.00,0,257.00, 354.00,1,54,53,63
5.42,0.00, 1.00, -136.00,0,257.00, 354.00,1,54,53,62
5.43,0.00, 2.00, -136.00,0,260.00, 352.00,1,54,53,61
5.44,0.00, 2.00, -136.00,0,260.00, 352.00,1,54,53,60
5.45,0.00, 2.00, -136.00,0,260.00, 352.00,1,52,52,59
5.46,0.00, 2.00, -135.00,0,263.00, 351.00,1,52,52,58
5.47,0.00, 2.00, -135.00,0,263.00, 351.00,1,52,52,57
5.48,0.00, 2.00, -135.00,0,263.00, 351.00,1,52,52,56
5.49,0.00, 2.00, -135.00,0,263.00, 351.00,1,52,52,55
5.5,0.00, 2.00, -135.00,0,263.00, 351.00,1,52,52,54
5.51,0.00, 1.00, -135.00,0,269.00, 348.00,1,52,52,53
5.52,0.00, 1.00, -135.00,0,269.00, 348.00,1,52,52,52
5.53,0.00, 1.00, -135.00,0,269.00, 348.00,1,52,52,51
5.54,0.00, 2.00, -135.00,0,269.00, 348.00,1,52,52,50
5.55,0.00, 2.00, -135.00,0,269.00, 348.00,1,52,52,49
5.56,0.00, 1.00, -135.00,0,272.00, 347.00,1,51,51,48
5.57,0.00, 1.00, -135.00,0,272.00, 347.00,1,51,51,47
5.58,0.00, 1.00, -135.00,0,272.00, 347.00,1,51,51,46
5.59,0.00, 1.00, -135.00,0,279.00, 343.00,1,51,51,45
5.6,0.00, 1.00, -135.00,0,279.00, 343.00,1,51,51,44
5.61,0.00, 1.00, -135.00,0,279.00, 343.00,1,51,51,43
5.62,0.00, 1.00, -135.00,0,279.00, 343.00,1,51,51,42
5.63,0.00, 1.00, -135.00,0,279.00, 343.00,1,51,51,41
5.64,0.00, 1.00, -135.00,0,279.00, 343.00,1,51,51,40
5.65,0.00, 1.00, -132.00,0,278.00, 343.00,1,51,51,39
5.66,0.00, 1.00, -132.00,0,278.00, 343.00,1,51,51,38
5.67,0.00, 1.00, -120.00,0,279.00, 343.00,1,50,51,37
5.68,0.00, 2.00, -116.00,0,279.00, 342.00,1,50,51,36
5.69,0.00, 2.00, -116.00,0,279.00, 342.00,1,50,51,35
5.7,0.00, 2.00, -116.00,0,279.00, 342.00,1,50,51,34
5.71,0.00, 2.00, -107.00,0,281.00, 341.00,1,50,51,33
5.72,0.00, 2.00, -107.00,0,281.00, 341.00,1,50,51,32
5.73,0.00, 2.00, -107.00,0,281.00, 341.00,1,50,51,31
5.74,0.00, 2.00, -107.00,0,281.00, 341.00,1,50,51,30
5.75,0.00, 1.00, -107.00,0,281.00, 341.00,1,50,51,29
5.76,0.00, 2.00, -107.00,0,281.00, 341.00,1,50,51,28
5.77,0.00, 2.00, -107.00,0,281.00, 341.00,1,50,50,27
5.78,0.00, 2.00, -107.00,0,281.00, 341.00,1,50,50,26
5.79,0.00, 2.00, -107.00,0,281.00, 341.00,1,50,50,25
5.8,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,24
5.81,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,23
5.82,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,22
5.83,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,21
5.84,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,20
5.85,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,19
5.86,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,18
5.87,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,17
5.88,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,16
5.89,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,15
5.9,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,14
5.91,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,13
5.92,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,12
5.93,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,11
5.94,0.00, 2.00, -108.00,0,281.00, 341.00,1,51,50,10
5.95,0.00, 2.00, -108.00,0,281.00, 341.00,1,51,50,9
5.96,0.00, 1.00, -107.00,0,281.00, 341.00,1,51,50,8
5.97,0.00, 2.00, -107.00,0,281.00, 341.00,1,51,50,7
5.98,0.00, 2.00, -107.00,0,281.00, 341.00,1,51,50,6
5.99,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,5
6,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,4
6.01,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,3
6.02,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,2
6.03,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,1
6.04,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.05,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.06,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.07,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.08,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.09,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.1,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.11,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.12,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.13,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.14,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.15,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.16,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.17,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.18,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.19,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.2,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.21,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.22,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.23,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.24,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.25,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.26,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.27,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.28,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.29,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.3,0.00, 1.00, -108.00,0,281.00, 341.00,1,49,50,0
6.31,0.00, 1.00, -108.00,0,281.00, 341.00,1,49,50,0
6.32,0.00, 1.00, -108.00,0,281.00, 341.00,1,49,50,0
6.33,0.00, 1.00, -108.00,0,281.00, 341.00,1,49,50,0
6.34,0.00, 2.00, -108.00,0,281.00, 341.00,1,49,50,0
6.35,0.00, 2.00, -108.00,0,281.00, 341.00,1,49,50,0
6.36,0.00, 2.00, -108.00,0,281.00, 341.00,1,49,50,0
6.37,0.00, 2.00, -108.00,0,281.00, 341.00,1,49,50,0
6.38,0.00, 2.00, -108.00,0,281.00, 341.00,1,49,50,0
6.39,0.00, 1.00, -108.00,0,281.00, 341.00,1,49,50,0
6.4,0.00, 1.00, -108.00,0,281.00, 341.00,1,49,50,0
6.41,0.00, 1.00, -108.00,0,281.00, 341.00,1,49,50,0
6.42,0.00, 1.00, -108.00,0,281.00, 341.00,1,49,50,0
6.43,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.44,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.45,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.46,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.47,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.48,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.49,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.5,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.51,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.52,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.53,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.54,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.55,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.56,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.57,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.58,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.59,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.6,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.61,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.62,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.63,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.64,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.65,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.66,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.67,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.68,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.69,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.7,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.71,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.72,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.73,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.74,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.75,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
6.76,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
6.77,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
6.78,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
6.79,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
6.8,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
6.81,0.00, 2.00, -108.00,0,281.00, 341.00,1,51,50,0
6.82,0.00, 2.00, -108.00,0,281.00, 341.00,1,51,50,0
6.83,0.00, 2.00, -108.00,0,281.00, 341.00,1,51,50,0
6.84,0.00, 2.00, -108.00,0,281.00, 341.00,1,51,50,0
6.85,0.00, 2.00, -108.00,0,281.00, 341.00,1,51,50,0
6.86,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.87,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.88,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.89,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.9,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.91,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.92,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.93,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
6.94,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.95,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.96,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.97,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.98,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
6.99,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.01,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.02,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.03,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.04,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.05,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.06,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.07,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.08,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
7.09,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.1,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.11,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.12,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
7.13,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
7.14,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.15,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.16,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
7.17,0.00, 2.00, -108.00,0,281.00, 341.00,1,50,50,0
7.18,0.00, 2.00, -108.00,0,281.00, 341.00,1,49,50,0
7.19,0.00, 2.00, -108.00,0,281.00, 341.00,1,49,50,0
7.2,0.00, 2.00, -108.00,0,281.00, 341.00,1,49,50,0
7.21,0.00, 1.00, -108.00,0,281.00, 341.00,1,49,50,0
7.22,0.00, 1.00, -108.00,0,281.00, 341.00,1,49,50,0
7.23,0.00, 1.00, -108.00,0,281.00, 341.00,1,49,50,0
7.24,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
7.25,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
7.26,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
7.27,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
7.28,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
7.29,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
7.3,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
7.31,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
7.32,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
7.33,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
7.34,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
7.35,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
7.36,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
7.37,0.00, 2.00, -108.00,0,281.00, 341.00,1,51,50,0
7.38,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
7.39,0.00, 1.00, -108.00,0,281.00, 341.00,1,51,50,0
7.4,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.41,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.42,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.43,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.44,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.45,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.46,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.47,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.48,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.49,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
7.5,0.00, 1.00, -108.00,0,281.00, 341.00,1,50,50,0
