Time,Euler0,Euler1,Euler2,ShakeLevel,PosX, PosY,OnMat,MotorSpeedL,MotorSpeedR,Collided
4.3,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.31,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.32,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.33,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.34,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.35,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.36,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.37,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.38,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.39,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.4,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.41,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.42,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.43,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.44,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.45,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.46,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.47,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.48,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.49,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.5,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.51,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.52,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.53,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.54,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.55,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.56,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.57,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
4.58,0.00, 2.00, -72.00,0,152.00, 118.00,1,0,0,0
